,question
33772,"What is Race 2, when Race 4 is 28?"
33773,What is the score of the copa libertadores group 3 competition round on 2 February 1994?
33774,What is the score of the copa libertadores group 4 competition round on 14 March 1972 with universitario as the away team?
33775,"What is the venue of season 1983, which had alianza lima as the home team?"
33776,What is the score of the match on 3 March 1988 at the estadio nacional?
33777,What were the Points on December 13?
33778,What is the year established of North Jersey Phoenix?
33779,What is the nickname of the school established in 2009?
33780,What is the location of the school established in 2013?
33781,What is the nickname of Columbia University?
33782,The match against Valentijn Overeem had what method?
33783,"Where was the match held when the result was win, and tko as the method?"
33784,What round did the match go to when the event was Bars - Moscow vs St. Petersburg?
33785,With a method of tko (kick) what is the record of the match?
33786,What round did the match go to when tko (cut) was the method?
33787,what is the place when the score is 68-72-77-74=291?
33788,how many times is the country united states and the score 72-71-73-73=289?
33789,Who is the player when the to par is more than 11 and the score is 71-71-71-79=292?
33790,what is the country when the player is bill nary?
33791,what is the score when the country is united states and the player is george fazio?
33792,WHAT IS THE DEATH WHEN BIRTH DATE IS 2 AUGUST 1424?
33793,WHAT IS THE Ceased to be Duke of Girona THAT HAS PETER IV?
33794,WHAT IS THE BIRTH DATE THAT HAS Ceased to be Duke of Girona OF 21 NOVEMBER 1582?
33795,WHAT IS THE BIRTH DATE WITH A DEATH OF OCTOBER 1389?
33796,"What is the total number of Laps, when Ride is Aleix Espargaro?"
33797,What was the start date for the party of LSAP with a Prime Minister of Jean-Claude Juncker?
33798,What is the County of Howard Street Tunnel?
33799,What is the Location of the Bridge Built in 1869?
33800,What is the date Listed of the B & O Bridge in Washington?
33801,What is the date Listed of the Bridge Built CA.1876?
33802,What is the date Listed of the Bridge Built in 1864?
33803,"What is the total number of Draw(s), when Televotes is greater than 1761, when Song is ""Ils Sont Là"", and when Place is less than 2?"
33804,"What is the lowest Place, when Televotes is 15424?"
33805,"What is the average Place, when Song is ""Dis Oui""?"
33806,What club received a DF player for free?
33807,Which player was transferred to Reggina?
33808,What is the exit date of the player transferred to Reggina for free?
33809,What is the lowest position of pilot mario kiessling from Germany?
33810,"What is the average position of pilot petr krejcirik, who has less than 11 points?"
33811,What is the career SR with a 1r in 1985?
33812,What tournament has a 3r in 1983?
33813,What is the 1980 value with a 1r in 1984 and a 1r in 1981?
33814,What is the finish of Australia?
33815,What is the total with a +4 to par?
33816,What country has a +3 to par?
33817,What was the first year that the artist of every little thing ranked lower than 10?
33818,Which Championship was louise suggs the runner-up by 3 strokes?
33819,When was the most recent year that kathy whitworth was the runner-up?
33820,What was the winning score in the u.s. women's open that was won by 5 strokes?
33821,"What is Record, when High Rebounds is ""Marcus Camby (15)"", and when High Assists is ""Baron Davis (7)""?"
33822,"What is Game, when Team is ""Philadelphia"""
33823,"What is High Assists, when Team is ""@ Milwaukee""?"
33824,What was the tie number for the round against visiting opponent Chelsea?
33825,What was the tie number for the round against visiting opponent Newcastle United?
33826,What date was Millwall the home team?
33827,What date was Leeds United the away team?
33828,What was the score when Bolton Wanderers were the away team?
33829,What is the total of events when the tournament was U.S. Open and the Top-25 was less than 1?
33830,How many total wins have 3 as the Top-35 and less than 5 cuts made?
33831,What is the minimum Top-10 when the Open Championship was the tournament and the wins greater than 0?
33832,With wins greater than 0 what is the minimum Top-10?
33833,What is the total Top-25 when the events were less than 0?
33834,Who is the player from the United States with a score of 71-75=146?
33835,Who is the player with a 77-68=145 score?
33836,What is the country with a 76-68=144 score?
33837,Who is the player in t8 place with a 75-71=146 score?
33838,What is the to par of the player from the United States with a place of t1 and a 76-68=144 score?
33839,"What is the country of player lee trevino, who has a to par of +2?"
33840,Who was the pilot at lake dumbleyung?
33841,How fast was the speed during the record set at Coniston Water that was piloted by Malcolm Campbell?
33842,Which Home has an Away of 1–1?
33843,Which Away has a Season of 2007–08?
33844,Which Season has an Away of 1–2?
33845,Which Away has a Home of 1–0?
33846,Which Season has a League of bezirksliga?
33847,Which Season has a Home of 0–1?
33848,What was the Venue in 2003?
33849,What Competition had a Score of 3–3?
33850,Name the lowest Round with Opponent of rolando delgado?
33851,"Name the total number of Round in liverpool , england?"
33852,"Which Event is in chandigarh , india?"
33853,Who is the player with a year later than 2007 and the college/high school/club of Arizona?
33854,What is the earliest year of c position player gary bergen?
33855,What round is sf/sg player sly williams from a year after 1965 from?
33856,What is the round of the pf position player from 1996 and the college/high school/club mississippi state?
33857,"Which Score has a Visitor of montreal canadiens, and Points of 5?"
33858,"Which Points have an Attendance of 21,273, and a Record of 5–1–1?"
33859,"Which Points have a Visitor of montreal canadiens, and an Attendance larger than 18,568, and a Record of 2–0–1?"
33860,"Which Date has a Home of montreal canadiens, and Points larger than 9, and a Decision of price?"
33861,What is the score for the home team Notts County?
33862,"Which Episode has a Viewers (millions) larger than 11.26, a Weekly Rank of #8, and a Share of 12?"
33863,"Which Viewers (millions) has an Episode of ""i'm not a good villain"", and a Share smaller than 12?"
33864,What is the 2012 with a mini in 2009?
33865,What is the 2013 with virgin in 2009?
33866,What is the highest rank of the 2009 xbox?
33867,What is the 2010 with a rank higher than 15 and a 2011 maserati?
33868,What is the record with 23 points and a visitor of Chicago?
33869,What venue had a tie?
33870,What was the score in Spain T3?
33871,What score did Lee Trevino get in T1?
33872,Which player had the score 71-72=143 in Spain?
33873,"When curtis strange had a to par +1, what was his score?"
33874,Who is the player for Zimbabwe?
33875,What country is Greg Norman from?
33876,What country is Bob Tway from?
33877,What was the highest number of starts in 2007 when the average start was over 17.6?
33878,"What is the number of wins when the number of third was 1, points were less than 572 and had less than 16 races?"
33879,What was the result for the friendly match competition?
33880,What was the team #1 for the match that had a result of 0-3?
33881,what is the 2010 population density for municipio ponce?
33882,What's the category for the tween academy: class of 2012 nomination?
33883,How many years was famas awards the award giving body?
33884,What's the result for the category of best actor in a supporting role?
33885,Which Record has a Date of december 17?
33886,Which Streak has a Team of new york knicks?
33887,Which Date has a Record of 21–10?
33888,Which Team has a Record of 17–8?
33889,Which Date has a Score of 102–113?
33890,"Which Game has a Streak of loss 1, and a Score of 110–111?"
33891,What is the name of the player who is Sco and moving to greenock morton in the summer?
33892,Where is rory loy moving to?
33893,What is the transfer fee for rory loy?
33894,What is the date of the game with toronto as the visitor?
33895,What is the date of the game with less than 35 points and chicago as the home team?
33896,What is the date of the game with pittsburgh as the home team and boston as the visitor team?
33897,What is the record of the game with 35 points and pittsburgh as the home team?
33898,What place did bobby wadkins come in?
33899,"What is the lowest Lane, when Mark is 7.66?"
33900,"What is Mark, when React is less than 0.148?"
33901,"What is the sum of Land, when React is greater than 0.217, and when Name is Yoel Hernández?"
33902,"What is Mark, when Lane is less than 5, and when React is 0.217?"
33903,What was the record following game 67?
33904,What day in February had an opponent of @ Colorado Rockies?
33905,What was the score of the game with a record of 18-22-13?
33906,"Which Opponent in the final has a Score of 6–3, 3–6, 6–8?"
33907,"Which Tournament has a Surface of carpet, and a Date smaller than 1995, and an Opponent in the final of ken flach robert seguso?"
33908,What time in office does the U.S. Navy have?
33909,When did the term end for the U.S. Marine Corps?
33910,"What is the 2006 figure for Argentina when 2007 is less than 0,15?"
33911,"What is the 2009 average if 2008 is less than 0,11 and 2007 is less than 0,08?"
33912,"What is the 2009 average when the 2007 average is more than 0,18?"
33913,How many gains were there for the player who had a loss greater than 57 and a long less than 55?
33914,What is the lowest Loss for the player named total that has a long greater than 55?
33915,What nationality is Kentucky and the player Tayshaun Prince?
33916,What is the nationality of Duke?
33917,What was the nationality of a point guard position in 1999-2001?
33918,What is the position of Tayshaun Prince?
33919,Who was the parent on the order of 6?
33920,Who was the husband date that was married in 1858?
33921,Can you tell me the Record that has the Opponent of vs. hamilton tiger cats?
33922,"Can you tell me the Opponent that has the Date of sun, sept 9?"
33923,Which country is Scott Hoch from?
33924,What is the place of the player from Spain?
33925,"What is Score, when Record is 12-57?"
33926,"What is Date, when Record is 12-58?"
33927,"What is Score, when Date is February 5?"
33928,"What is H/A/N, when Score is 104-109?"
33929,"What is Score, when Opponent is Portland Trail Blazers, and when Record is 12-58?"
33930,What is H/A/N when Date is February 24?
33931,What is the last game of the season that has the record 0-1-0?
33932,Who had the decision goal when the date was 1?
33933,Who had the decision goal when the record was 7-7-2?
33934,What was the first game in which Weekes scored the decision goal and the record was 7-4-2?
33935,What's the total number of points scored during the 1951 NSWRFL Grand Final?
33936,Which premier team played the 1951 NSWRFL Grand Final?
33937,During which competition were a total of 36 points scored?
33938,What's the total sum of points scored by the Brisbane Broncos?
33939,What is the premier team that has 38 points and won with a score of 38-0?
33940,What was the tie no when the away team was northwich victoria?
33941,What was the attendance for the match where cambridge united was the home team?
33942,How many times was the award inte awards?
33943,what is the work when the result is won and the year is after 2002?
33944,what is the work when the result is won and the year is before 2003?
33945,Which venue had the opposing team Natal?
33946,What day was the against 22 and the status tour match?
33947,Which Attendance has a Week of 8?
33948,"Which Opponent that has a Week smaller than 7 on september 12, 1988?"
33949,When has a Result of w 41-27?
33950,"Which Weight (kg) has a Manufacturer of fujitsu, and a Model of lifebook p1610?"
33951,Which Display size (in) has a Model of versapro vy10f/bh-l?
33952,Which Display size (in) has a Model of vaio pcg-u3?
33953,"What method was used in the match that went to round 1, and had a 6-3-1 record?"
33954,"In the match against Marcus Aurélio with a method of decision (unanimous), what was the results?"
33955,Where was the Deep - 30 Impact event held?
33956,COunt the average Diameter (km) which has ketian (yenisey r.) main evil goddess.?
33957,COunt the sum of Diameter (km) which has a Latitude of 62.7n?
33958,WHich Name origin has a Longitude of 332.5e?
33959,In which round was Dustin Hazelett the opponent?
33960,"What is TV Time, when Opponent is At Cincinnati Bengals?"
33961,"What is TV Time, when Date is December 22, 1996?"
33962,"What is Result, when Opponent is Cincinnati Bengals?"
33963,What was their record bfore game 54?
33964,Who had the most rebounds in the game against Chicago?
33965,What was the lowest attendance at the game against chicago when conklin made the decision?
33966,"For Tie #2, who was the home team?"
33967,What was the final score for the match where Hereford United was the home team?
33968,"In Tie #18, who was the away team?"
33969,"In Tie #19, what was the name of the away team?"
33970,What is the Tie number for the match where Dartford was the hone team?
33971,"In the match played against Telford United, who was the home team?"
33972,"What is Position, when Class is Sophomore, and when Player is Shaquille O'Neal Category:Articles With hCards?"
33973,"What is Player, when Class is ""senior"", when Position is ""shooting guard"", and when School is ""Bradley""?"
33974,"What is Position, when Player is ""Kevin Durant category:articles with hCards""?"
33975,"What is the Score of the match on August 23, 2004?"
33976,"What was the Score of the Spain F32, Gran Canaria Tournament?"
33977,"On what Surface was the match with a Score of 6–4, 6–3 and Runner-up Outcome played?"
33978,What is the Outcome of the match with Partner Andoni Vivanco?
33979,Who was the Leading Scorer in the Game with a Score of 96-87?
33980,What Country with a MC Format has a ATCO Records Label?
33981,"What team has a location and attendance at the Seattle Center Coliseum 12,591?"
33982,"What is 1st Leg, when Team #2 is ""Emelec""?"
33983,"What is 1st Leg, when Team #1 is ""San Lorenzo""?"
33984,"What is the muzzle energy with grains (g) bullet weight and a max pressure of 35,000 psi?"
33985,"What is the bullet weight with a 12,000 cup max pressure?"
33986,What is the max pressure for the 468ft•lbf (634 j) muzzle energy?
33987,What is the muzzle velocity for the muzzle energy 351ft•lbf (476 j)?
33988,What is the muzzle velocity for the .38 long colt cartridge?
33989,"What is the muzzle energy with 40,000 psi max pressure?"
33990,What is the home country of the player who placed t5 and had a score of 69-71=140?
33991,What was the place for the player whose final score was 71-69=140?
33992,What was the To par for the player whose final score was 67-71=138?
33993,What was Nolan Henke's To par when he placed in t3?
33994,WHAT IS THE MEANING WITH Pīnyīn of chē?
33995,"WHAT IS THE RADICAL WITH gǔ, AND STROKE COUNT OF 7?"
33996,"WHAT IS THE STROKE COUNT WITH RADICAL OF 生, FRQUENCY SMALLER THAN 22?"
33997,WHAT IS THE STROKE COUNT WITH RADICAL 皿 FREQUENCY SMALLER THAN 129?
33998,What is the Flagship of the Show Hosted by Rover (Shane French)?
33999,What is the Host of the Show with a Market of New York?
34000,What is the iHeartRadio of the Bronson and Christine Show?
34001,What is the to total number of par with laurie ayton?
34002,Where is bobby jones (a)?
34003,"Can you tell me the total number of Top 5 that has the Year smaller than 2009, and the Wins larger than 0?"
34004,"Can you tell me the Wins that has the Starts larger than 1, and the Top 5 of 3?"
34005,"Can you tell me the sum of Starts that the Winnings of $139,774, and the Wins smaller than 0?"
34006,Who is affiliated with the nickname Ramblers?
34007,"Who was the Opponent in the match with a Score of 6–3, 6–4?"
34008,On what Surface was the match against Malek Jaziri played?
34009,"What is the total number of Year(s) Won, when Player is Ed Furgol, and when To Par is greater than 12?"
34010,"What is Year(s) Won, when Player is Arnold Palmer?"
34011,"What is Highest Total, when Year(s) Won is before 1959?"
34012,"What is Player, when Year(s) Won is before 1961, and when To Par is 6?"
34013,"What is Finish, when To Par is greater than 6, and when Year(s) Won is before 1961?"
34014,"What is Top Par, when Country is Sweden?"
34015,"What is the highest Money ($), when Top Par is E, and when Player is Ernie Els?"
34016,"What is the sum of Money ($), when Score is 70-71-70-69=280?"
34017,What was the high assist when the high point was Eric Gordon (21)?
34018,What day was the high assist Mike Taylor (5)?
34019,What was the record when the high rebound was Deandre Jordan (11)?
34020,When was the home team score 17.5 (107)?
34021,What was the away team when the home was st kilda?
34022,"Who was the away team on sunday, 13 february?"
34023,"Which Week has a Date of december 3, 2001?"
34024,Which Week has a Opponent of tennessee titans?
34025,What are the years won with a total of 282?
34026,What was the date when the against was 3?
34027,What was the Against when the Opposing Team was sheffield wednesday?
34028,Which round was played in the H Venue on 29 january 1949?
34029,What is the total number of Against that were played in the H Venue on 26 february 1949?
34030,"What was the round for 29 January 1949, when the against was 1?"
34031,"What is the Result when the Attendance is 1,634?"
34032,On what date was Stuart Potts the Man of the Match?
34033,Who was the Opponent when Terry Miles was the Man of the Match?
34034,What was the Result of the game dated 21st?
34035,Which Venue is listed under the Date of  21st?
34036,What was the Result on the Date of 25th?
34037,What was the rank when the opponent was Wisconsin (played at Wisconsin)?
34038,What was the result when they played at Michigan State?
34039,Who was the opponent when the result was w24-7?
34040,How many were in attendance when they played vs. 12 Stanford?
34041,"Which Big (>500ha) has a Micro (10ha) larger than 940, and a Department of potosí, and a Total smaller than 16,240?"
34042,"Which Small (100ha) has a Big (>500ha) of 5,710, and a Total smaller than 36,351?"
34043,"How much Micro (10ha) has a Big (>500ha) larger than 63,454, and a Medium (500ha) larger than 440, and a Small (100ha) smaller than 21,047?"
34044,"Which Small (100ha) is the highest one that has a Big (>500ha) larger than 9,021?"
34045,"Which Fumb Yds has a Fumb F. of 0, and a Int LG smaller than 0?"
34046,"Which Fumb TD has an Int TD of 1, and a Fumb F. smaller than 1?"
34047,What is the name of the person whose country is West Indies.
34048,What is the Pananmal Punjabi's date of birth?
34049,Who was the winner after 2011?
34050,What was the lowest year for TCU?
34051,What is the score of player bill rogers?
34052,What is the country with a t7 place and a 69-68-72=209 score?
34053,What is the place of player jim thorpe?
34054,What is the place of player chi-chi rodríguez?
34055,Who is the player with a 69-68-71=208 score?
34056,What state had a title of duke for the royal house of ji?
34057,What state had the name of wu for the royal house of ji?
34058,What was the name listed for the royal house of jiang and a title of duke?
34059,What was the name when the state was wey?
34060,What was the title for the state of qin?
34061,What was the state that had the vassal name of li?
34062,Where was the match held that lasted 3:24?
34063,The match against Mark Hunt had what result?
34064,Who was the match against at the PRIDE 31 event?
34065,"The match that went 1 round, and had a method of submission (rear-naked choke) had what record?"
34066,Who is the player with a t7 place?
34067,What is the lowest amount of money player jim colbert has?
34068,What is the average Enrollment of Dickinson College?
34069,Which institution has a nickname of Blue Hens?
34070,What is the nickname of the college established in 1773?
34071,What was the time of round 2 against Taylor Mccorriston?
34072,Who had the high assists against San Antonio?
34073,What was the number of the game against Charlotte?
34074,Which Money has a Score of 70-68-73-68=279?
34075,"Which Score has a To par of +1, and a Player of masashi ozaki?"
34076,"Which money has a Country of united states, and a Place of t6?"
34077,What is the 2004 value for the 2009 Grand slam tournaments?
34078,"What tournament has a 2008 value of A, q1 in 2005, and 1r in 2004?"
34079,What is the 2005 value for the 2010 grand slam tournaments?
34080,What is the 2003 value for the 2008 grand slam tournaments?
34081,"What is the 2005 value with a q2 in 2011, a q1 in 2012, and 1r in 2003?"
34082,What is the 2009 value for the 2003 grand slam tournaments?
34083,What was the high amount of assists before game 60?
34084,What date was match 5?
34085,"What was the game score on april 2, 2008?"
34086,What is the average match when the singapore armed forces played away against perak fa (malaysia)?
34087,What is the ICAO for Seewoosagur Ramgoolam airport?
34088,What is the IATA for San Francisco airport?
34089,Which city has an ICAO of Oejn?
34090,What is the IATA for Gatwick airport?
34091,What is the ICAO in France with an IATA of Ory?
34092,"Which Location Attendance has a Game larger than 67, and a Team of @ charlotte?"
34093,Which High rebounds have High points of chris bosh (18)?
34094,Which High rebounds have High points of chris bosh (34)?
34095,What are Utah's high points?
34096,What is Rinnal's title?
34097,What title was used in 1911 bc?
34098,Which player from United States is in place of t6?
34099,Phil Mickelson has what  To par?
34100,What high assists have a game greater than 46?
34101,What are the high points that have 42 as the game?
34102,What record has 46 as the game?
34103,WHAT IS THE PLACE WITH A SCORE OF 67-70=137?
34104,WHAT PLAYER HAS A SCORE OF 66-73=139?
34105,WHAT PLACE WAS A SCORE 67-70=137?
34106,"WHAT COUNTRY HAS A T7 PLACE, WITH IAN WOOSNAM?"
34107,WHAT COUNTRY HAS A SCORE OF 68-70=138?
34108,What was the earliest week when the New Orleans Saints were the opponents?
34109,What was the name of the opponent that having a TV time of Bye?
34110,What is the Parameter that has the third phase of 0.50 m?
34111,What is the second stage that has the third phase of 20kn?
34112,"What is the third stage that has the first phase of 5,443kg?"
34113,What is the Parameter that has the third phase of 20kn?
34114,What year did the Grizzlies play for the UNLV team?
34115,What nationality is the forward/center position?
34116,What team is from the United States and plays a guard position for the Grizzlies in 2012?
34117,What position is the player from the United States play for the Grizzlies from 2000-2001?
34118,"What is the total number of Bronze, when Gold is greater than 0, when Rank is 4, and when Total is greater than 4?"
34119,"What is the total number of Total, when Gold is less than 1, when Silver is greater than 0, when Rank is 14, and when Nation is Afghanistan?"
34120,"What is the lowest Gold, when Silver is 0, and when Bronze is 2?"
34121,"What is the average Bronze, when Silver is 0, when Rank is 19, and when Total is greater than 2?"
34122,What was the lowest number of pieces for a board released in 1984?
34123,"What is the dimensions in centimeters of a theater board who started in 1940, who was released after 2010?"
34124,What is the average number of pieces for boards that started in 1941 and were released after 2001?
34125,"What are the dimensions in inches of the board released before 2004, that started in 1941?"
34126,"What is Venue, when Against is less than 30, and when Opposing Team is New South Wales?"
34127,"What is Status, when Date is 10/05/1975?"
34128,"What is the lowest Against, when Opposing Team is Queensland?"
34129,"What is Date, when Status is Second Test?"
34130,Who was born in Porsgrunn?
34131,"Which Studio has a Rank smaller than 3, and a Director of adrian lyne?"
34132,"Which Rank is the lowest one that has a Gross of $54,215,416?"
34133,"What is the date of the match against John McEnroe with a Score of 3–6, 6–3, 2–6?"
34134,What is the Opponent of the game in 1989?
34135,What is the highest pick of ron whaley?
34136,What is the overall sum of the game with a pick less than 8 from the college of western michigan?
34137,What is the position of the player from the college of western michigan?
34138,"What is the lowest round of bob caldwell, who has a pick greater than 7 and an overall larger than 162?"
34139,"What is the college of dave adams, who has a pick greater than 7?"
34140,What game took place on April 28?
34141,What is the east with ev landsberg as the west?
34142,What is the north with sb rosenheim as the south?
34143,What is the south with ev lindau as the west and svg burgkirchen as the east?
34144,"What season has esc holzkirchen south, esv buchloe west, and ehc bayreuth north?"
34145,"What is south in the 2001-02 season, which had germering wanderers east?"
34146,What was west when ev fürstenfeldbruck was south?
34147,"When revenue is smaller than 4,177 million in year 2008, what is the sum of earnings per share?"
34148,What is the year 2007 earnings per share?
34149,"What is the total net profit when earnings per share is 27.4, and profit/loss befor tax was smaller than 194.6 million?"
34150,In year 2011 what is sum of profit/loss before tax and net profit larger than 123.8 million?
34151,"What is the highest goals for less than 63 goals against, more than 65 points 1, and more than 10 losses?"
34152,What is the highest position for less than 42 played?
34153,What is the average day in December with a Record of 16-3-4 and a Game smaller than 23?
34154,"When the Runners-Up is larger than 0, what's the sum of winners?"
34155,"When there are more than 1 winners and the team playing is pachuca, what's the lowest runners-up found?"
34156,Can you tell me the Name that has the Assists of lake (154) lake (5.1 apg)?
34157,Can you tell me the Name that has the Place of 1?
34158,Can you tell me the Rebounds that has the Name of pom baskets jena?
34159,Can you tell me the Steals that has the Place of 6?
34160,What is the Callsign in Brisbane with a Freq currently of 4rph?
34161,What is the Freq currently of the 4GG Callsign?
34162,What is the Community Band with a 4BCB Callsign?
34163,What is the Purpose of the Callsign with a Freq currently of 4gld?
34164,What is the Purpose of the Callsign with a Freq currently of 4rph?
34165,What was the press like for the world olympic record holder Roger Francois and Jaan Kikkas?
34166,"What was the press like in Paris for Roger Francois, and Carlo Galimberti?"
34167,What is the total amount of world records for Roger Francois?
34168,What place had a score of 71-70-73-71=285?
34169,How much money for 1st place with a to par less than 1?
34170,What Player had a To par of +1?
34171,What is the Country of the Player with a To par of +4 and Score of 73-71-73=217?
34172,What is the Place of the Player with a To par of +3 and Score of 73-70-73=216?
34173,What is the Place of the Player with a Score of 72-70-72=214?
34174,Who is the kitmaker for the team whose team captain is Robert Enke?
34175,Which team uses the kitmaker Saller and has Krombacher as their shirt sponsor?
34176,"For the team led by head coach Felix Magath, who is the team captain?"
34177,"For the team whose shirt sponsor is Krombacher, who is the team captain?"
34178,"For the team whose shirt sponsor is Evonik, who is the kitmaker?"
34179,Who is the Shirt Back Sponsor if the Shorts Sponsor is Telestet?
34180,"Which of the Res., has Ryan Scheepe as an opponent?"
34181,What position is Jeff Brown?
34182,which player played on Team Hamilton?
34183,What CFL team does Jeff brown play for?
34184,What is the total number of picks for Calgary College?
34185,Who was the home team when the record was 2-3?
34186,What was the record on April 10?
34187,What spacecraft had an EVA that ended at 17:28?
34188,What crew's EVA started on 20 February 20:09?
34189,The EVA that started on 8 July 12:38 went for how long?
34190,The EVA that started 8 July 12:38 was from what spacecraft?
34191,"How many assists were in the k-league competition, which has more than 20 total Gs, the pohang steelers team, and chunnam dragons as the opponent?"
34192,"What is the average number of goals of park sung-ho at the k-league competition, which has the pohang steelers team and less than 46 total Gs?"
34193,"What is the date of the k-league cup, which has less than 28 goals, at the jeonju venue?"
34194,"What is the sum of the total As of team bucheon sk, who had the chunnam dragons as their opponent at the bucheon venue?"
34195,What is the sum of the assists kang jae-soon had in the k-league competition in ulsan?
34196,What is the sum of the goals on 2007-06-16?
34197,What was Bill Glasson's score to par after 2 rounds?
34198,What was Phil Mickelson's score to par?
34199,What place was Bill Glasson in?
34200,What is the average pick with 85 overall in a round lower than 3?
34201,"What was the 2009 results that has q1 for 2010, and A as the result for 2011?"
34202,What were the 2009 results that has 0 in 2010?
34203,With a 2011 of 0 what was the 2006 result?
34204,"What is the result for 2004 when A is the result for 2005, and the result of q1 when 2009?"
34205,With a 2008 result of 153 what is the result for 2007?
34206,"What are the results in 2008 when 2009 is 0, and the ATP Tournaments Won is the tournament?"
34207,Which team was in 1951?
34208,What is the date of the match with arnaud di pasquale as the opponent in the final?
34209,What is the date of the match with a winner outcome and jim courier as the opponent in the final?
34210,"What is the surface of the palermo, italy championship?"
34211,In what Round was OL Player Richard Zulys picked?
34212,What is the Player from McGill?
34213,Which College had an Overall pick of 171?
34214,Who had the overall pick of 72?
34215,What primary conference does the team nicknamed Phoenix belongs to?
34216,Where is the location for the home rink Triangle sports plex/Greensboro ice house?
34217,What pick was a player that previously played for the Minnesota Lynx?
34218,Which player was picked after 23?
34219,What is the nationality of the player who went to college at Mississippi?
34220,Who is the player who played for the Miami Sol and went to school at North Carolina State?
34221,"WHAT IS THE AVG AST FOR GAMES LARGER THAN 101, RANK 5, TOTAL ASSISTS SMALLER THAN 331?"
34222,WHAT IS THE SUM OF AST AVG WITH RANK 5 AND GAMES BIGGER THAN 108?
34223,Which Round has a Name of john goodyear?
34224,"Which Round has a College of appalachian state, and an Overall smaller than 156?"
34225,"Which Pick has a Round larger than 17, and a Name of gene stewart?"
34226,What was the result when the opponent was Rory Markham?
34227,Which Branding has a frequency of 1080khz?
34228,Which frequency is located in Dagupan?
34229,What frequency does branding dzec radyo agila 1062 have?
34230,Which frequency has 40kw power?
34231,Which frequency is located in Davao?
34232,what is the peak population (year) for scranton?
34233,what is the numeric decline from peak population when the perfect decline from peak population is -16.76%
34234,what is the numeric decline from peak population when 2010 population is 88857?
34235,what is the state when the peak population (year) is 134995 (1950)?
34236,what is the percent decline from peak population when the peak population (year) is 178320 (1960)?
34237,"WHAT IS THE RANK OF UNIVERSAL, AND DIRECTOR JOHN HUGHES?"
34238,"WHAT IS THE TITLE THAT HAS A RANK BIGGER THAN 10, FOR DIRECTOR WALTER HILL?"
34239,WHAT IS THE STUDIO WITH THE TITLE MASK?
34240,"WHAT IS THE RANK WITH A GROSS OF $96,773,200?"
34241,How many times was the player drawn that had less than 12 losses and a goal difference of +20?
34242,"What is the sum of the positions for the player who had less than 25 losses, a goal difference of +20, 10 draws, and played less than 42?"
34243,What is the highest number played when there were less than 13 losses and a goal difference of +46?
34244,"What is listed under points 1 when the position was greater than 4, there were 54 goals for and more than 11 losses?"
34245,Who was the worship leader that had a lead supporting vocal Marcus Temu?
34246,Who was the lead supporting vocalist on the song that was 4:54 long?
34247,Who was the Worship Leader for the song that was 7:05 long?
34248,What is the song name that featured Marcus Temu as the lead supporting vocalist?
34249,What's the lowest diameter when the longitude is 71.1w?
34250,"What's the longitude for philae sulcus in 1997 with a diameter less than 1,575.0?"
34251,What is dardanus sulcus' lowest diameter?
34252,"How many years is ur sulcus listed with a diameter less than 1,145.0?"
34253,When the attendance was 3188 what was the score?
34254,What is the maximum number of people in attendance on 16 August 2008 when the home team was Deportes Savio?
34255,What team was the away team when the Deportes Savio was the home team?
34256,What was the away team when the score was 3:1?
34257,When Platense was the away team on 16 August 2008 how many people attended the game?
34258,What was the score when 2441 people were in attendance?
34259,Which driver had 35+3 points?
34260,What was the time/retired for the driver with 14 points?
34261,What is the sum of goals when the league cup goals are 4 and the FA cup goals are 0?
34262,"What is the amount of FA cups goals that were made when the total goals is greater than 16, and the league cup goals is 1 for the Norwich City club?"
34263,What is the number of league goals when Bill Dearden was the scorer and there was 0 league cup goals?
34264,"What is the name of the player with a transfer window in summer, an undisclosed transfer fee, and is moving from brussels?"
34265,"What is the type of bulykin, which has a summer transfer window?"
34266,What is the country of cordier?
34267,What is the country of the player moving from belgrano with a summer transfer window?
34268,What is the transfer window of the player moving from barueri?
34269,What is the type of the player moving from belgrano?
34270,Average round for 22 pick that is overall smaller than 229?
34271,"What is the normal 2002 that has a Country of Peru, and 2007 bigger than 1,200?"
34272,"What is the most reduced 2007 that has 2008 littler than 1,270, and 2003 bigger than 870?"
34273,"What is the most noteworthy 2006 that has 2008 littler than 5,330, and a Country of Peru, and 2009 littler than 1,260?"
34274,"What is the least 2009 that has 2005 littler than 640, and 2011 of 425, and 2003 littler than 500?"
34275,"What is the aggregate number of 2005 that has 2004 bigger than 1,040, and a Country of Chile, and 2006 littler than 5,560?"
34276,How many Bronze medals did the Nation with 0 Silver receive?
34277,How many Gold medals did the Nation with less than 8 Total medals including 1 Bronze and 0 Silver receive?
34278,How many Total medals did the Nation the got 0 Bronze medals receive?
34279,"What Nation had a more than 1 Total medal including less than 3 Silver, less than 4 Gold and a Rank of 4?"
34280,How many Silver medals did the Nation ranking 8 with more than 1 Total medal but less than 1 Gold receive?
34281,What is the start date with Luke Jacobz hosting and Dannii Minogue as a winning mentor?
34282,Who was in third place when Guy Sebastian was the winning mentor and Andrew Wishart was the runner-up?
34283,"In what Election year was Adalberto Mosaner the Mayor with less than 16,170 Inhabitants?"
34284,"In what Election year were there less than 16,170 Inhabitants?"
34285,What is the Mayor of Riva del Garda in 2010?
